# Time (a.u.)	Order parameter |r|
0.4760	4.8355999e-01
0.4770	4.8448343e-01
0.4780	4.8540535e-01
0.4790	4.8632575e-01
0.4800	4.8724463e-01
0.4810	4.8816199e-01
0.4820	4.8907785e-01
0.4830	4.8999219e-01
0.4840	4.9090503e-01
0.4850	4.9181637e-01
0.4860	4.9272620e-01
0.4870	4.9363454e-01
0.4880	4.9454139e-01
0.4890	4.9544674e-01
0.4900	4.9635060e-01
0.4910	4.9725298e-01
0.4920	4.9815387e-01
0.4930	4.9905329e-01
0.4940	4.9995123e-01
0.4950	5.0084769e-01
0.4960	5.0174268e-01
0.4970	5.0263621e-01
0.4980	5.0352827e-01
0.4990	5.0441888e-01
0.5000	5.0530802e-01
0.5010	5.0619571e-01
0.5020	5.0708195e-01
0.5030	5.0796673e-01
0.5040	5.0885008e-01
0.5050	5.0973198e-01
0.5060	5.1061245e-01
0.5070	5.1149148e-01
0.5080	5.1236908e-01
0.5090	5.1324525e-01
0.5100	5.1412000e-01
0.5110	5.1499333e-01
0.5120	5.1586523e-01
0.5130	5.1673573e-01
0.5140	5.1760481e-01
0.5150	5.1847249e-01
0.5160	5.1933877e-01
0.5170	5.2020364e-01
0.5180	5.2106712e-01
0.5190	5.2192921e-01
0.5200	5.2278991e-01
0.5210	5.2364922e-01
0.5220	5.2450715e-01
0.5230	5.2536370e-01
0.5240	5.2621888e-01
0.5250	5.2707268e-01
0.5260	5.2792512e-01
0.5270	5.2877620e-01
0.5280	5.2962592e-01
0.5290	5.3047428e-01
0.5300	5.3132129e-01
0.5310	5.3216694e-01
0.5320	5.3301126e-01
0.5330	5.3385423e-01
0.5340	5.3469586e-01
0.5350	5.3553616e-01
0.5360	5.3637513e-01
0.5370	5.3721278e-01
0.5380	5.3804910e-01
0.5390	5.3888409e-01
0.5400	5.3971778e-01
0.5410	5.4055015e-01
0.5420	5.4138121e-01
0.5430	5.4221096e-01
0.5440	5.4303942e-01
0.5450	5.4386657e-01
0.5460	5.4469243e-01
0.5470	5.4551700e-01
0.5480	5.4634028e-01
0.5490	5.4716228e-01
0.5500	5.4798299e-01
0.5510	5.4880243e-01
0.5520	5.4962059e-01
0.5530	5.5043749e-01
0.5540	5.5125311e-01
0.5550	5.5206747e-01
0.5560	5.5288057e-01
0.5570	5.5369241e-01
0.5580	5.5450299e-01
0.5590	5.5531232e-01
0.5600	5.5612041e-01
0.5610	5.5692725e-01
0.5620	5.5773284e-01
0.5630	5.5853720e-01
0.5640	5.5934032e-01
0.5650	5.6014221e-01
0.5660	5.6094286e-01
0.5670	5.6174229e-01
0.5680	5.6254049e-01
0.5690	5.6333748e-01
0.5700	5.6413324e-01
0.5710	5.6492778e-01
0.5720	5.6572111e-01
0.5730	5.6651323e-01
0.5740	5.6730414e-01
0.5750	5.6809385e-01
0.5760	5.6888235e-01
0.5770	5.6966965e-01
0.5780	5.7045575e-01
0.5790	5.7124065e-01
0.5800	5.7202436e-01
0.5810	5.7280688e-01
0.5820	5.7358821e-01
0.5830	5.7436835e-01
0.5840	5.7514731e-01
0.5850	5.7592508e-01
0.5860	5.7670167e-01
0.5870	5.7747708e-01
0.5880	5.7825131e-01
0.5890	5.7902437e-01
0.5900	5.7979626e-01
0.5910	5.8056697e-01
0.5920	5.8133651e-01
0.5930	5.8210489e-01
0.5940	5.8287210e-01
0.5950	5.8363814e-01
0.5960	5.8440302e-01
0.5970	5.8516674e-01
0.5980	5.8592930e-01
0.5990	5.8669070e-01
0.6000	5.8745094e-01
0.6010	5.8821003e-01
0.6020	5.8896796e-01
0.6030	5.8972474e-01
0.6040	5.9048036e-01
0.6050	5.9123484e-01
0.6060	5.9198816e-01
0.6070	5.9274034e-01
0.6080	5.9349137e-01
0.6090	5.9424125e-01
0.6100	5.9498999e-01
0.6110	5.9573758e-01
0.6120	5.9648402e-01
0.6130	5.9722933e-01
0.6140	5.9797349e-01
0.6150	5.9871651e-01
0.6160	5.9945839e-01
0.6170	6.0019913e-01
0.6180	6.0093874e-01
0.6190	6.0167720e-01
0.6200	6.0241452e-01
0.6210	6.0315071e-01
0.6220	6.0388576e-01
0.6230	6.0461968e-01
0.6240	6.0535246e-01
0.6250	6.0608411e-01
0.6260	6.0681462e-01
0.6270	6.0754399e-01
0.6280	6.0827224e-01
0.6290	6.0899935e-01
0.6300	6.0972532e-01
0.6310	6.1045017e-01
0.6320	6.1117388e-01
0.6330	6.1189646e-01
0.6340	6.1261791e-01
0.6350	6.1333822e-01
0.6360	6.1405741e-01
0.6370	6.1477547e-01
0.6380	6.1549239e-01
0.6390	6.1620819e-01
0.6400	6.1692285e-01
0.6410	6.1763639e-01
0.6420	6.1834880e-01
0.6430	6.1906007e-01
0.6440	6.1977022e-01
0.6450	6.2047924e-01
0.6460	6.2118713e-01
0.6470	6.2189390e-01
0.6480	6.2259953e-01
0.6490	6.2330404e-01
0.6500	6.2400742e-01
0.6510	6.2470967e-01
0.6520	6.2541080e-01
0.6530	6.2611080e-01
0.6540	6.2680967e-01
0.6550	6.2750742e-01
0.6560	6.2820404e-01
0.6570	6.2889954e-01
0.6580	6.2959391e-01
0.6590	6.3028715e-01
0.6600	6.3097927e-01
0.6610	6.3167027e-01
0.6620	6.3236015e-01
0.6630	6.3304890e-01
0.6640	6.3373653e-01
0.6650	6.3442304e-01
0.6660	6.3510842e-01
0.6670	6.3579269e-01
0.6680	6.3647583e-01
0.6690	6.3715786e-01
0.6700	6.3783876e-01
0.6710	6.3851855e-01
0.6720	6.3919722e-01
0.6730	6.3987477e-01
0.6740	6.4055121e-01
0.6750	6.4122653e-01
0.6760	6.4190074e-01
0.6770	6.4257383e-01
0.6780	6.4324581e-01
0.6790	6.4391668e-01
0.6800	6.4458643e-01
0.6810	6.4525508e-01
0.6820	6.4592262e-01
0.6830	6.4658905e-01
0.6840	6.4725437e-01
0.6850	6.4791859e-01
0.6860	6.4858171e-01
0.6870	6.4924372e-01
0.6880	6.4990463e-01
0.6890	6.5056444e-01
0.6900	6.5122315e-01
0.6910	6.5188076e-01
0.6920	6.5253728e-01
0.6930	6.5319270e-01
0.6940	6.5384703e-01
0.6950	6.5450026e-01
0.6960	6.5515241e-01
0.6970	6.5580347e-01
0.6980	6.5645344e-01
0.6990	6.5710232e-01
0.7000	6.5775012e-01
0.7010	6.5839684e-01
0.7020	6.5904248e-01
0.7030	6.5968705e-01
0.7040	6.6033053e-01
0.7050	6.6097294e-01
0.7060	6.6161428e-01
0.7070	6.6225455e-01
0.7080	6.6289375e-01
0.7090	6.6353189e-01
0.7100	6.6416895e-01
0.7110	6.6480496e-01
0.7120	6.6543991e-01
0.7130	6.6607380e-01
0.7140	6.6670663e-01
0.7150	6.6733841e-01
0.7160	6.6796913e-01
0.7170	6.6859881e-01
0.7180	6.6922744e-01
0.7190	6.6985502e-01
0.7200	6.7048156e-01
0.7210	6.7110706e-01
0.7220	6.7173152e-01
0.7230	6.7235495e-01
0.7240	6.7297734e-01
0.7250	6.7359870e-01
0.7260	6.7421903e-01
0.7270	6.7483834e-01
0.7280	6.7545662e-01
0.7290	6.7607387e-01
0.7300	6.7669011e-01
0.7310	6.7730533e-01
0.7320	6.7791954e-01
0.7330	6.7853273e-01
0.7340	6.7914491e-01
0.7350	6.7975608e-01
0.7360	6.8036625e-01
0.7370	6.8097541e-01
0.7380	6.8158357e-01
0.7390	6.8219073e-01
0.7400	6.8279689e-01
0.7410	6.8340206e-01
0.7420	6.8400624e-01
0.7430	6.8460942e-01
0.7440	6.8521162e-01
0.7450	6.8581283e-01
0.7460	6.8641306e-01
0.7470	6.8701230e-01
