# Coupling strength K	Order parameter |r|
3.000000e-02	3.446353e-02
3.000000e-02	3.454842e-02
3.000000e-02	3.575569e-02
3.000000e-02	3.622069e-02
3.000000e-02	3.782196e-02
3.000000e-02	3.805371e-02
3.000000e-02	3.805622e-02
3.000000e-02	3.927794e-02
3.000000e-02	4.043804e-02
3.000000e-02	4.060105e-02
3.000000e-02	4.143197e-02
3.000000e-02	4.180509e-02
3.000000e-02	4.284455e-02
3.000000e-02	4.290477e-02
3.000000e-02	4.391531e-02
3.000000e-02	4.465673e-02
3.000000e-02	4.485198e-02
3.000000e-02	4.522722e-02
3.000000e-02	4.572965e-02
3.000000e-02	4.604030e-03
3.000000e-02	4.656243e-02
3.000000e-02	4.736329e-02
3.000000e-02	4.754540e-02
3.000000e-02	4.770162e-02
3.000000e-02	4.814381e-02
3.000000e-02	4.891392e-02
3.000000e-02	4.968179e-02
3.000000e-02	4.976590e-02
3.000000e-02	5.045376e-02
3.000000e-02	5.054072e-02
3.000000e-02	5.123431e-02
3.000000e-02	5.186246e-02
3.000000e-02	5.202612e-02
3.000000e-02	5.283020e-02
3.000000e-02	5.314922e-02
3.000000e-02	5.364605e-02
3.000000e-02	5.381510e-02
3.000000e-02	5.447183e-02
3.000000e-02	5.530460e-02
3.000000e-02	5.550408e-02
3.000000e-02	5.560947e-02
3.000000e-02	5.614047e-02
3.000000e-02	5.697475e-02
3.000000e-02	5.723615e-02
3.000000e-02	5.737893e-03
3.000000e-02	5.758480e-02
3.000000e-02	5.780206e-02
3.000000e-02	5.861632e-02
3.000000e-02	5.868986e-02
3.000000e-02	5.937408e-02
3.000000e-02	5.941080e-02
3.000000e-02	5.996875e-02
3.000000e-02	6.017803e-02
3.000000e-02	6.056276e-03
3.000000e-02	6.085850e-02
3.000000e-02	6.090981e-02
3.000000e-02	6.107367e-02
3.000000e-02	6.159726e-02
3.000000e-02	6.200749e-02
3.000000e-02	6.202898e-02
3.000000e-02	6.223081e-02
3.000000e-02	6.256881e-02
3.000000e-02	6.277461e-02
3.000000e-02	6.280042e-02
3.000000e-02	6.288120e-02
3.000000e-02	6.319692e-02
