# Time (a.u.)	Order parameter |r|
"g(w): std dev = 0.262"
0.5300	3.3474393e-01
0.5310	3.3549117e-01
0.5320	3.3623895e-01
0.5330	3.3698726e-01
0.5340	3.3773610e-01
0.5350	3.3848548e-01
0.5360	3.3923539e-01
0.5370	3.3998583e-01
0.5380	3.4073681e-01
0.5390	3.4148832e-01
0.5400	3.4224037e-01
0.5410	3.4299295e-01
0.5420	3.4374607e-01
0.5430	3.4449972e-01
0.5440	3.4525390e-01
0.5450	3.4600862e-01
0.5460	3.4676387e-01
0.5470	3.4751966e-01
0.5480	3.4827598e-01
0.5490	3.4903284e-01
0.5500	3.4979023e-01
0.5510	3.5054815e-01
0.5520	3.5130661e-01
0.5530	3.5206561e-01
0.5540	3.5282514e-01
0.5550	3.5358520e-01
0.5560	3.5434580e-01
0.5570	3.5510693e-01
0.5580	3.5586860e-01
0.5590	3.5663080e-01
0.5600	3.5739354e-01
0.5610	3.5815681e-01
0.5620	3.5892062e-01
0.5630	3.5968496e-01
0.5640	3.6044983e-01
0.5650	3.6121525e-01
0.5660	3.6198119e-01
0.5670	3.6274767e-01
0.5680	3.6351469e-01
0.5690	3.6428224e-01
0.5700	3.6505032e-01
0.5710	3.6581894e-01
0.5720	3.6658809e-01
0.5730	3.6735778e-01
0.5740	3.6812800e-01
0.5750	3.6889876e-01
0.5760	3.6967005e-01
0.5770	3.7044187e-01
0.5780	3.7121423e-01
0.5790	3.7198712e-01
0.5800	3.7276055e-01
0.5810	3.7353451e-01
0.5820	3.7430900e-01
0.5830	3.7508403e-01
0.5840	3.7585959e-01
0.5850	3.7663569e-01
0.5860	3.7741231e-01
0.5870	3.7818947e-01
0.5880	3.7896717e-01
0.5890	3.7974539e-01
0.5900	3.8052415e-01
0.5910	3.8130344e-01
0.5920	3.8208327e-01
0.5930	3.8286362e-01
0.5940	3.8364451e-01
0.5950	3.8442593e-01
0.5960	3.8520788e-01
0.5970	3.8599036e-01
0.5980	3.8677337e-01
0.5990	3.8755692e-01
0.6000	3.8834099e-01
0.6010	3.8912559e-01
0.6020	3.8991072e-01
0.6030	3.9069639e-01
0.6040	3.9148258e-01
0.6050	3.9226930e-01
0.6060	3.9305654e-01
0.6070	3.9384432e-01
0.6080	3.9463262e-01
0.6090	3.9542145e-01
0.6100	3.9621081e-01
0.6110	3.9700069e-01
0.6120	3.9779110e-01
0.6130	3.9858203e-01
0.6140	3.9937349e-01
0.6150	4.0016548e-01
0.6160	4.0095798e-01
0.6170	4.0175101e-01
0.6180	4.0254457e-01
0.6190	4.0333864e-01
0.6200	4.0413324e-01
0.6210	4.0492836e-01
0.6220	4.0572399e-01
0.6230	4.0652015e-01
0.6240	4.0731683e-01
0.6250	4.0811402e-01
0.6260	4.0891174e-01
0.6270	4.0970997e-01
0.6280	4.1050871e-01
0.6290	4.1130797e-01
0.6300	4.1210775e-01
0.6310	4.1290803e-01
0.6320	4.1370884e-01
0.6330	4.1451015e-01
0.6340	4.1531197e-01
0.6350	4.1611431e-01
0.6360	4.1691715e-01
0.6370	4.1772051e-01
0.6380	4.1852437e-01
0.6390	4.1932873e-01
0.6400	4.2013360e-01
0.6410	4.2093898e-01
0.6420	4.2174486e-01
0.6430	4.2255124e-01
0.6440	4.2335812e-01
0.6450	4.2416550e-01
0.6460	4.2497338e-01
0.6470	4.2578176e-01
0.6480	4.2659063e-01
0.6490	4.2740000e-01
0.6500	4.2820986e-01
0.6510	4.2902021e-01
0.6520	4.2983105e-01
0.6530	4.3064239e-01
0.6540	4.3145421e-01
