# Time (a.u.)	Order parameter |r|
0.5630	2.7021699e-01
0.5640	2.7090128e-01
0.5650	2.7158593e-01
0.5660	2.7227092e-01
0.5670	2.7295626e-01
0.5680	2.7364194e-01
0.5690	2.7432795e-01
0.5700	2.7501429e-01
0.5710	2.7570097e-01
0.5720	2.7638797e-01
0.5730	2.7707529e-01
0.5740	2.7776292e-01
0.5750	2.7845087e-01
0.5760	2.7913913e-01
0.5770	2.7982769e-01
0.5780	2.8051655e-01
0.5790	2.8120572e-01
0.5800	2.8189518e-01
0.5810	2.8258493e-01
0.5820	2.8327496e-01
0.5830	2.8396528e-01
0.5840	2.8465589e-01
0.5850	2.8534677e-01
0.5860	2.8603792e-01
0.5870	2.8672935e-01
0.5880	2.8742104e-01
0.5890	2.8811300e-01
0.5900	2.8880521e-01
0.5910	2.8949769e-01
0.5920	2.9019042e-01
0.5930	2.9088340e-01
0.5940	2.9157663e-01
0.5950	2.9227011e-01
0.5960	2.9296383e-01
0.5970	2.9365779e-01
0.5980	2.9435198e-01
0.5990	2.9504641e-01
0.6000	2.9574107e-01
0.6010	2.9643596e-01
0.6020	2.9713107e-01
0.6030	2.9782641e-01
0.6040	2.9852196e-01
0.6050	2.9921773e-01
0.6060	2.9991372e-01
0.6070	3.0060991e-01
0.6080	3.0130632e-01
0.6090	3.0200293e-01
0.6100	3.0269974e-01
0.6110	3.0339675e-01
0.6120	3.0409396e-01
0.6130	3.0479137e-01
0.6140	3.0548897e-01
0.6150	3.0618675e-01
0.6160	3.0688473e-01
0.6170	3.0758289e-01
0.6180	3.0828123e-01
0.6190	3.0897975e-01
0.6200	3.0967845e-01
0.6210	3.1037732e-01
0.6220	3.1107636e-01
0.6230	3.1177558e-01
0.6240	3.1247496e-01
0.6250	3.1317450e-01
0.6260	3.1387421e-01
0.6270	3.1457407e-01
0.6280	3.1527409e-01
0.6290	3.1597427e-01
0.6300	3.1667459e-01
0.6310	3.1737507e-01
0.6320	3.1807569e-01
0.6330	3.1877646e-01
0.6340	3.1947737e-01
0.6350	3.2017841e-01
0.6360	3.2087960e-01
0.6370	3.2158091e-01
0.6380	3.2228236e-01
0.6390	3.2298394e-01
0.6400	3.2368564e-01
0.6410	3.2438747e-01
0.6420	3.2508942e-01
0.6430	3.2579148e-01
0.6440	3.2649366e-01
0.6450	3.2719596e-01
0.6460	3.2789836e-01
0.6470	3.2860088e-01
0.6480	3.2930350e-01
0.6490	3.3000622e-01
0.6500	3.3070904e-01
0.6510	3.3141196e-01
0.6520	3.3211497e-01
0.6530	3.3281807e-01
0.6540	3.3352126e-01
0.6550	3.3422454e-01
0.6560	3.3492790e-01
0.6570	3.3563135e-01
0.6580	3.3633486e-01
0.6590	3.3703846e-01
0.6600	3.3774212e-01
0.6610	3.3844586e-01
0.6620	3.3914966e-01
0.6630	3.3985352e-01
0.6640	3.4055744e-01
0.6650	3.4126142e-01
0.6660	3.4196545e-01
0.6670	3.4266953e-01
0.6680	3.4337366e-01
0.6690	3.4407784e-01
0.6700	3.4478205e-01
0.6710	3.4548631e-01
0.6720	3.4619059e-01
0.6730	3.4689491e-01
0.6740	3.4759926e-01
0.6750	3.4830363e-01
0.6760	3.4900803e-01
0.6770	3.4971244e-01
0.6780	3.5041687e-01
0.6790	3.5112131e-01
0.6800	3.5182575e-01
0.6810	3.5253020e-01
0.6820	3.5323466e-01
0.6830	3.5393911e-01
0.6840	3.5464355e-01
0.6850	3.5534798e-01
0.6860	3.5605241e-01
0.6870	3.5675681e-01
0.6880	3.5746119e-01
0.6890	3.5816555e-01
0.6900	3.5886989e-01
0.6910	3.5957419e-01
0.6920	3.6027845e-01
0.6930	3.6098268e-01
0.6940	3.6168686e-01
0.6950	3.6239100e-01
0.6960	3.6309508e-01
0.6970	3.6379912e-01
